body,url,video
"#MustSee
#Myaso

Отчет с финальной остановки Triple Challenge в этом году. Мощных трюков просто навалом!",,https://i.mycdn.me/getVideoPreview?id=6134892792441&idx=0&type=39&tkn=GV5qC0tJ0-89o44A5kV1F40t_Zs&fn=vid_f
Москва против Питера,,https://i.mycdn.me/getVideoPreview?id=6350218005102&idx=0&type=39&tkn=qm7gdfaK7RYPHg8lzSyj6Ces-jU&fn=vid_f
"Ден Фоули вновь радует шедевром, снятым им самим на множестве спотов. Красота!",,https://i.mycdn.me/getVideoPreview?id=6029624806140&idx=0&type=39&tkn=kbwKybOPZUI0Bq4QEHF8KMRoqoI&fn=vid_f
"Макс Цветкович раздает во славу Colony в Австралии. Немного грубый, но мощный стрит",,https://i.mycdn.me/getVideoPreview?id=6161690987145&idx=0&type=39&tkn=GnaZGPjwpV_m_CdmfNo7RWODiq4&fn=vid_f
Кадры с интересного бекярда Мэтта Беринджера. Выглядит очень интересно такое сочетание дертов и парка,,https://i.mycdn.me/getVideoPreview?id=6151887981096&idx=0&type=39&tkn=eD3xvssEOrDxqNDYhZzUqsgeH6k&fn=vid_f
"Джош Доув катается на фирменном стайлаке в двух парках. Любимый райдер ваших любимых райдеров, кстати.",,https://i.mycdn.me/getVideoPreview?id=6321521166988&idx=0&type=39&tkn=2G50E4Me3MBgJdHRJ_4zl7GrZ2o&fn=vid_f
Первый контест на фанбоксе прямимом из 1988 года. Трюки-то какие!!!,,https://i.mycdn.me/getVideoPreview?id=6054622792230&idx=0&type=39&tkn=y93JHsyTb7PVupWuFCDcXWmtlIw&fn=vid_f
Джунион Кунья раздает в ньюскульном стиле во славу Shadow и Subrosa,,https://i.mycdn.me/getVideoPreview?id=6266728090347&idx=0&type=39&tkn=SENqABKde2gqqPpowyMnBdGwAuc&fn=vid_f
Девин Буркс теперь раздает для Odyssey и показывает отличный уровень. Бар на айспик на футжем на кан-кан на электробудке — круть!,,https://i.mycdn.me/getVideoPreview?id=6341478255282&idx=0&type=39&tkn=5IePox-iNBx_z-m7OHmAVDH9wbI&fn=vid_f
"#MustSee

Настоящее искусство от Бретта Ридера. Надо видеть!",,https://i.mycdn.me/getVideoPreview?id=6413182962417&idx=0&type=39&tkn=dOdCR_LlHlDypGjTo4HpbR7WbII&fn=vid_f
Масть против НЖМ,,https://i.mycdn.me/getVideoPreview?id=6361744017970&idx=0&type=39&tkn=uEj32p7CJKkS76iM0tkdpkUiZ8I&fn=vid_f
Дави Содре где-то в Латаме показывает какой-то очень сильный уровень для парня в шортиках. Крутой!,,https://i.mycdn.me/getVideoPreview?id=6291345836691&idx=0&type=39&tkn=aUcbJEJSP9CqTj9FuTJMxZZqSAU&fn=vid_f
"#MustSee
#Myaso

А вот и отчет с лучшего трюка на Ultimate X. [id68057213|Никита Исаков] и [id155925527|Анар Алиев] показали уровень, но место ушло Джереми Мэлотту.",,https://i.mycdn.me/getVideoPreview?id=6323450153684&idx=0&type=39&tkn=QA8Q-hlJhdwKLBzO0Ne_RzwijVw&fn=vid_f
"Потрясающее видео My War II от Поля Кедерка. Если не видели, то отличный повод пересмотреть!",,https://i.mycdn.me/getVideoPreview?id=6326990539381&idx=0&type=39&tkn=wxF9lA0iheAKuZWd7cypqdQrPdI&fn=vid_f
Лучшие моменты с финалов Ultimate X. [id222449721|Арсений Любишкин] занял 5 место и среди всех этих шредеров выгодно отличался!,,https://i.mycdn.me/getVideoPreview?id=6162464573964&idx=0&type=39&tkn=99jMAfA0Ys11_mN5a-h58FOBonM&fn=vid_f
Настоящий фристайл от Пола Кови. Для всех кто соскучился по креативу,,https://i.mycdn.me/getVideoPreview?id=6177057737462&idx=0&type=39&tkn=PCaOUZpT54cL3P3VBYyrDi2t3nw&fn=vid_f
Крисс Кайл покоряет турецкие горы на MTB,,https://i.mycdn.me/getVideoPreview?id=5899212294689&idx=0&type=39&tkn=PdkYD3tzvVG31ucFkMsdqpJGz6A&fn=vid_f
Джаред Данкан и Эдди Куелар катаются на фигруах Full Factory. Стайлак стритовый!,,https://i.mycdn.me/getVideoPreview?id=6114534230648&idx=0&type=39&tkn=T4-kjZXJT_Sq712QGuNJ-OIbR5M&fn=vid_f
